Drugs,Cbln2,Cyp1a1,Muc2,Ankrd34a,Asb14,Ly6al,LOC102548022,Btbd2,Pax9,Mybl2,Tcp11,Palmd,Sez6l2,C1qtnf4,Cbfa2t3,Aldh1a2,LOC102549724 /// LOC102549828,LOC102552294,Wisp2,Magi1,Tubb4a,Katnbl1,RGD1308775,Mypop,Fam163b,Myoz1,Ctrl,Zfp385c,S100a3,Drp2,Tbcd,Fgf14,Defb1,Tmem107,Tacr1,Lyzl6,Drd2,Nup37,LOC102546927,Col5a3,Kprp,LOC102556906,Plxna3,LOC102549880,Rasgrf1,Fscn3,Retnla,Cpne7,Senp8,Fjx1,Igfl3,Bspry,Tmem182,Lix1,Camkv,Cckbr,Tmem151a,Akr1b7,Lhfpl2,Ap3b2,Kcnc3,Znrf2,LOC687508,Zfp592,Fbrs,Rimbp2,Ndrg4,Asah2,Slc24a4,Fa2h,Kcnj3,Paqr4,LOC102551963,Egflam,Lce3d,Trpm8,Fignl1,Slc34a1,Apc2,LOC102553932,Opcml,Olr1500,Purb,Srp54a,Col20a1,Glis1,Noxred1,Apaf1,Col15a1 /// LOC100909752,Amph /// LOC100909679 /// LOC100910792,LOC102557140,Nkx2-5,LOC100909684,Rpl3,Hap1,Hspa9,Pak3,RGD1311517,Msx1,Fam83h
amiodarone,3.384877956,4.446170802,3.765676068,4.458912597,4.348224244,3.876950066,4.030921543,6.043294304,3.480024328,3.70548139,4.635610731,4.305659559,4.510488323,4.461178725,3.874415213,4.080647506,4.005769837,3.571995333,3.677446996,4.186828109,5.772361195,3.93907085,3.986905239,4.892348671,3.628538097,4.086745388,4.090458964,3.902029466,4.314896985,4.183525727,3.747679524,3.220380933,3.459488531,3.921265946,4.194930609,4.058690261,4.167723756,3.704516911,3.784436962,4.729011493,3.449472935,5.15646204,5.142999553,4.10296016,5.134813134,3.768006706,4.808746309,5.173073472,3.926403117,3.831621022,4.132531645,4.155290285,3.300585683,3.606583824,3.834835952,4.545579304,5.041270857,4.992707614,4.326874176,4.454210251,3.771209539,3.574035143,4.109916054,4.296482189,3.737595166,3.786376588,4.281942696,3.9278036,4.15620793,4.991549005,4.650498991,4.530483976,4.06334483,3.772102099,4.317187047,3.824642834,4.220366451,4.738815238,3.324301638,4.151553278,4.239762431,3.313284558,3.840157577,5.154131137,4.749621816,5.062076874,3.826158472,4.151072653,4.13504151,3.532311022,3.604045904,4.17960619,3.602375236,6.821809026,5.029660571,3.710087631,5.281646422,4.367629142,3.98556827,4.570740162
amitriptyline,3.534731442,4.612508102,3.839481907,4.166647522,4.775802169,3.945798444,4.144764123,6.361601879,3.389520692,4.047502807,4.77491087,4.795094917,4.485208529,4.75770154,4.305158674,4.656748834,4.10433184,3.617140526,3.823755653,4.535811362,5.758711562,4.364108335,4.442292061,5.153167503,3.862456021,4.070267846,4.635921375,3.811938943,4.333317493,4.0339008,3.695296733,3.199695914,4.253514386,4.072785961,4.233523209,4.134779508,4.335024197,3.875483886,3.993245176,5.080511569,3.685408072,4.982111808,5.270518874,4.246363535,5.025293012,3.938260522,4.821347876,5.675356207,4.292126219,3.836387781,4.222069619,4.3049929,3.260643941,3.560919351,3.815903883,4.732793908,5.050226628,6.836041183,4.71219231,4.286584306,3.891269218,3.622360863,4.304867421,4.302684465,3.982458407,3.787312198,4.390395774,4.471236614,4.875111684,5.318381587,4.55894227,4.808020535,4.2622708,3.902786333,4.414015679,3.975002703,4.287404636,4.468409388,3.856022811,4.526476035,4.29467817,3.387941509,3.902086258,5.067405166,4.365676597,5.308127896,4.737024621,4.748901452,4.39539804,3.797913505,4.03646458,4.559594312,3.550748049,6.57027924,5.26128739,3.886354386,5.343181103,4.290937179,4.326838306,4.87949512
aspirin,3.417242463,4.423499419,3.726240275,4.683289402,4.476540731,4.083626471,4.132250634,6.359197872,3.439625592,3.819705343,4.742978557,3.991770998,4.662475891,4.796105634,3.866641659,4.293322808,4.41395796,3.58593747,3.872556166,4.45868494,6.260598602,3.912714997,4.264118067,4.961310469,3.720533702,4.109520549,4.263670571,3.891288995,4.422611551,4.181865529,4.083191825,3.342353353,3.625738854,4.157848219,4.383952042,4.086419319,4.381237801,3.914411998,4.074280467,4.789525593,3.662174889,4.727681087,5.112201354,4.156545778,5.349568994,4.127300171,5.109830635,5.150160058,4.245093694,3.967163203,4.32423767,4.13175013,3.269999919,3.636429195,3.825046145,4.82515034,5.043854482,5.669997558,4.185860153,4.51180776,4.00868187,3.683278159,4.195072304,4.445375463,3.785241674,4.003399572,4.456599497,3.9288104,4.362077618,5.376486266,5.018123728,4.656438471,4.106178178,3.955619598,4.352572405,4.134977408,4.29898453,3.91306034,3.494638012,4.348421997,4.173347626,3.272547819,4.28081858,5.277565756,4.100141773,5.263783241,4.132216844,4.279970959,4.053151401,3.557657877,3.917855489,4.534716853,3.743556716,6.16620878,5.257937847,3.749659411,5.528751809,4.497046059,4.11843053,4.55582786
bendazac,3.435552568,4.61235037,4.042110984,5.172792827,4.889506374,4.531832553,4.411183888,6.026263355,3.616681991,3.977809724,5.521580465,4.826421103,4.916412777,5.128624778,4.153957018,4.89118679,4.561719754,3.438377457,3.887877088,4.738511914,6.384542075,4.526937766,4.760142559,5.341508228,4.044049083,4.2080274,4.464534779,4.299321296,4.894444311,4.602109945,4.180347842,3.343591538,3.723076556,4.491933062,4.504162901,4.27532068,4.004847043,4.283072579,4.431560952,4.60288361,4.0158628,5.025045222,5.532827122,4.50925447,5.566092622,4.445088559,5.296893471,5.543093663,5.005642148,3.930249841,4.482499114,4.387620572,3.285544369,3.6479129,3.909347026,5.208655173,5.18273047,7.109426528,4.923255549,5.001107173,4.444285177,3.686318826,4.059555051,4.647249154,4.152587897,4.315730934,4.752845075,4.653346988,4.63644473,5.669979343,5.302706628,5.087959753,4.788195199,4.153181198,4.885498814,3.945264781,4.134585092,3.925412302,3.761187213,4.819318712,4.654587124,3.540564464,4.394921176,5.508190427,3.654458581,5.465371244,4.750818192,4.77210042,4.347559551,3.636624416,4.041391866,4.601503912,3.778322176,5.920524536,5.711349978,4.138888032,5.524364994,4.933338762,4.404547319,4.963714002
benzbromarone,3.500444937,4.992772494,4.309635858,5.486584665,5.111452766,4.519191734,4.619708508,6.481259928,3.493729048,4.149050942,5.447519031,4.599916858,5.00150241,5.383779733,4.393604046,4.929088596,4.552795168,3.556284194,3.970622757,4.889689354,6.650852007,4.293301965,4.81438102,5.476008451,4.216133927,4.4729405,4.951976656,4.36950248,5.057054915,4.689234069,4.456881703,3.524591616,3.868361659,4.434728918,4.646016923,4.417741147,4.078537934,4.164641665,4.268525733,4.794437044,3.870591108,5.222661145,5.10068509,4.351957813,5.823249846,4.330335391,5.473678129,5.788937801,4.883378298,3.814249718,4.846036847,4.551101938,3.503800413,3.878933401,3.764285824,5.16464575,5.363729871,6.355852564,4.416913186,4.867004454,4.590914095,4.098753763,4.005696796,4.618263306,3.9215788,4.091739505,5.08396998,4.499677518,4.540832611,5.675473208,5.295714015,4.960491038,4.653990236,4.480550489,4.919649882,3.943549443,4.45084562,3.988053787,3.873746206,4.996952193,4.585444616,3.484875372,4.440051903,5.844029743,3.652536046,5.347042794,4.836015447,4.56313077,4.338935261,3.85485895,3.868463679,4.751550282,3.972999734,4.991329421,5.747140324,4.14426527,5.659020005,5.023238267,4.620668791,4.992244817
benziodarone,3.487130759,4.466677361,3.999060701,5.006417769,4.908782203,4.759343925,4.170405632,6.042037585,3.548637178,3.783595581,5.086607088,5.114933379,4.699968841,4.842724407,4.496536867,4.770497778,4.469395254,3.70872174,3.728702988,4.470466582,6.131273748,4.467418515,4.456418805,5.200261835,4.136803593,4.256491572,4.454933288,4.288323058,4.512186394,4.44250875,4.127217165,3.44303504,3.834107205,4.190292496,4.283785569,4.213505952,4.096502136,4.053780936,4.571337086,4.271682998,3.95702653,4.970784603,5.259876334,4.059410479,5.130582869,4.289178854,4.780233673,5.747386023,4.640052779,3.727008601,4.432921698,4.31148275,3.230558269,3.826826866,3.902309655,5.226532175,5.045690748,6.426437151,4.889015455,4.617019168,4.187802339,3.564477047,4.067211306,4.425318877,4.366867609,4.050117928,4.639552869,5.088473222,4.848017578,5.212734139,4.917519836,5.061816281,4.496759522,4.016301799,4.789463904,3.807598238,4.386822039,3.719948833,4.067645639,4.566703428,4.485323158,3.420780248,3.779395162,5.371785296,3.397375537,5.339942567,4.606339561,4.589369993,4.583834781,3.834685348,3.906244971,4.192120415,3.890289154,6.268751805,5.590930202,3.883482435,5.401658291,4.711933422,4.520844827,5.015408445
bromobenzene,3.654262309,5.252869571,4.195903876,5.254658158,5.115023127,4.362215174,4.09443585,6.702940301,3.55213792,4.100888541,5.227873423,4.726289782,4.963397137,4.937661347,4.555669679,5.658394738,4.098188477,3.962764957,3.71731378,4.218561091,6.551549432,4.496427215,4.653365767,5.378716467,4.448999312,4.006701414,5.013594156,4.438009939,4.729693959,4.451802353,4.337181701,3.508302008,4.246121655,4.321959235,4.231616419,4.081006531,4.155801474,3.993275823,4.430021734,5.195078113,4.197646643,5.321437349,5.359352358,4.473382917,4.923931743,4.156257224,5.184731373,5.887754859,5.437947059,3.879644612,5.179356298,4.701030942,3.512963807,4.255973581,4.757184856,5.53283375,5.36090076,7.521350372,4.783347917,4.791831659,4.323769798,4.229840606,4.630731376,4.614466343,4.328534802,4.323326308,4.71339212,5.151452873,4.494639083,4.867651667,4.660866448,5.254451368,4.774998478,4.671103974,4.98968091,3.843535469,3.997984535,4.157497278,4.027807071,4.269333269,4.495701918,3.449927015,4.239200106,5.761392593,3.792732524,5.650863613,4.655415398,4.759543448,4.766546073,3.738254272,4.07843331,4.308775032,3.764047927,6.180487422,5.698424309,4.535935188,5.419760917,4.797774308,4.582577195,5.316629261
bromoethylamine,3.564364528,4.428182442,3.876090069,5.006709389,4.615116724,4.393835965,4.229890781,5.911712822,3.725964637,3.888765985,5.213771444,4.52830281,4.941642497,4.86261579,4.326430247,4.615399221,4.702923365,3.764817672,3.931211036,4.421024717,6.408949895,4.280574538,4.693634286,5.201070087,4.136885624,4.127274386,4.163337622,4.185846517,4.571640469,4.636054734,4.187734883,3.553311468,3.781496064,4.12896371,4.326766984,4.087023624,4.241400318,4.038536406,4.331749372,4.220469291,3.920434576,4.857418263,4.868913786,4.233407384,5.110880033,4.204576011,5.07417959,5.502701698,4.817795574,4.005148248,4.686131376,4.288501923,3.445592017,3.80233941,3.849099809,4.963453462,5.055447679,5.185849264,4.70824328,4.502925461,4.420956486,3.876551679,4.185725116,4.508113472,3.986519069,3.951521155,4.542878108,4.636778077,4.685172536,5.365869006,4.835332425,4.65597315,4.325075726,4.024861011,4.808774244,3.975319305,4.161422363,3.950689931,3.934531034,4.412972415,4.570500816,3.610258441,4.157884584,5.568717529,3.663357476,5.091684261,4.451676057,4.843778702,4.288439119,3.954551156,3.780746872,4.23089809,3.861854847,5.322205249,5.617211621,4.625083912,5.371340748,4.455886097,4.850865358,4.761432551
bucetin,3.806362508,7.604788527,4.093078103,5.260644912,5.103172878,4.835063514,4.823237722,6.236712451,3.690484014,4.237190641,5.703713962,4.820621137,5.448157278,5.254859983,4.688329515,5.04549851,5.036422121,3.888527058,4.164295831,4.860101158,6.751621863,4.47447509,4.891604316,5.783878433,4.390662757,4.729013971,5.054343281,4.552957337,4.904108162,4.512153666,4.543099669,3.675470114,4.21627248,4.485528849,4.659987463,4.452148381,4.377755397,4.577291262,4.490784833,5.036616676,4.178615604,4.971598461,5.156057596,4.622577728,6.04263047,4.455839765,5.637401355,5.873504733,5.121752863,4.19904196,4.929407392,4.566915802,3.621472522,3.985619318,4.277408484,5.33652604,5.378450671,6.549208321,4.826719998,4.791467326,4.542816824,4.038174072,4.259495664,4.781506044,4.22521746,4.538670186,5.144400445,4.740225455,4.874288992,6.01716815,5.299129472,4.744450901,4.839046441,4.303122454,5.028454752,4.294839838,4.951927393,4.138836138,4.031696586,5.183667582,5.135084642,3.719944968,4.489428142,5.808065606,3.830064544,5.462129757,4.956430367,5.017541436,4.609200071,4.128782506,4.225470848,4.749425919,4.251929667,5.785559181,5.660648335,4.724972466,5.902157318,4.94268087,4.625457637,4.927074904
buthionine,3.616714472,4.338558051,3.949658829,4.748335153,4.829232591,4.43553706,4.173849005,6.487571097,3.46530417,4.096856161,5.315764078,4.16997932,4.585072289,5.110082878,3.998287022,5.132168627,4.103960476,3.688331334,3.908333142,4.444240288,6.121167847,4.530470384,4.691683446,5.403920117,4.398401933,3.952029774,4.627477085,4.294682001,4.404141146,4.12886912,4.198703794,3.413944887,4.077829251,4.148021227,4.155986814,3.869043169,4.211908969,3.977857874,4.098519412,4.976936305,3.69516554,5.024401616,5.381397958,4.046199138,4.962957523,4.028113609,5.08527141,5.878400273,4.620635161,3.885479545,4.752953177,5.042871739,3.292431137,3.834398364,4.239282561,5.245615067,5.27588926,6.466144662,4.696620862,4.545380464,4.143947774,3.862773321,4.464105551,4.506080676,4.373253965,3.974767969,4.374329591,4.678461894,4.915270068,5.349533359,4.815223182,4.719249662,4.147241346,3.856329365,4.747321985,4.491460735,4.044063476,4.407117275,3.847748612,4.615852988,4.340527799,3.399474717,3.814575786,5.408972738,4.199803122,5.273954112,4.856453865,5.105901813,4.736436665,4.035549123,4.120752057,4.226387141,3.579314963,6.678867088,5.201486213,4.386636101,5.75489507,4.886631204,4.198320949,5.04485227
butylated_hydroxyanisole,4.262792694,5.89010142,4.746354507,6.004663675,6.143819456,4.937809266,4.715007055,6.932766016,4.241594149,4.7004882,6.049117846,6.007735234,5.79115742,5.807317407,4.989299026,6.106402195,4.864232075,4.758547413,4.279100504,4.938062855,7.137246776,5.521912838,5.541747926,6.153044186,5.426952463,4.410617583,5.996789956,4.975391732,5.486693838,4.929383899,5.03342586,4.126291443,5.095590522,4.956363219,4.664750235,4.566665754,4.881399863,4.310136956,4.794008173,5.81230422,5.140285024,6.159085538,6.093634469,5.698208442,5.430659438,4.30944498,5.492991787,6.835959826,6.069397261,4.538442791,5.509642009,5.639236135,3.973746714,4.424864031,5.292664623,6.155431039,5.96678703,7.433363093,5.589820128,5.923825903,4.949705707,4.263354158,4.767686227,5.104343607,6.036089974,5.077187678,5.299209367,5.958081078,5.515512334,5.715505161,5.354800801,6.006307592,5.346847458,4.872014243,5.443294357,4.501391098,4.626757696,5.259872527,4.54150778,4.943484494,4.886380162,3.910719122,4.347849088,6.488096547,4.11837045,5.977620755,5.233405885,5.695226454,5.619561092,4.629734463,4.712637058,4.888855175,3.826239322,8.003698304,6.24024409,4.67096368,6.155684903,5.43030539,4.940774645,6.191144727
caffeine,3.310794972,4.354338741,3.261612169,4.059215694,4.016811309,3.810573842,3.553270057,5.049048883,2.950869922,3.31385687,4.509288535,3.866060626,4.177708665,3.950978252,3.830563969,4.21967479,3.507050064,3.27147853,3.275976186,3.97461441,5.271774897,3.663535286,3.686730903,4.194786787,3.707413085,3.475752436,4.003421297,3.40559958,3.596867988,3.467386774,3.479513848,2.891534286,3.422006785,3.639929131,3.474649258,3.294690746,3.736862257,3.46726643,3.507077744,4.079228037,3.282265065,3.932429857,3.963635804,3.312987983,4.989302528,3.421405399,3.857903614,4.70089364,3.812788485,3.383700465,3.956757736,3.7848415,2.968990847,3.136659354,3.152764251,4.020994401,4.28630836,4.327886928,3.714210247,3.97472321,3.471167493,3.313301967,3.433294508,3.724952385,3.570075505,3.148242199,3.761269356,3.938601769,3.630226996,4.324082077,3.701820436,3.995868184,3.572281047,3.51850998,3.81041446,3.333234546,3.538911914,3.252231556,3.386236894,3.916536464,3.689659568,2.9519296,3.111081842,4.049436267,3.148248635,4.178721968,3.768717317,3.584704493,3.656869308,3.316965453,3.18947765,3.495941814,3.404430783,4.619167684,4.293974072,3.265120222,4.353953025,3.81044444,3.713945143,4.697452671
captopril,3.545698351,4.409207534,3.888121285,5.081053255,4.76767045,4.467794083,4.039355917,6.274266219,3.672246273,3.81244642,5.027575255,4.320207587,4.705042916,4.673449352,4.613140677,4.631463337,4.435226025,3.672271229,3.619733648,4.329942171,6.203015796,4.366965895,4.748902933,5.485689278,4.100944162,3.938258391,4.278772518,4.283108424,4.582462317,4.59403704,4.204815945,3.320613042,4.129473797,4.262397698,4.286842042,3.920733926,4.265312977,3.988920939,4.740646301,4.081487818,3.966742816,5.095457512,5.473884726,4.138153285,4.791736151,3.925959365,4.867015565,5.954296791,4.913414227,3.789848923,4.457707634,4.34164689,3.30237999,3.836766768,3.953032604,5.136701259,4.998732699,7.042029182,4.722651535,4.830926825,4.123927517,3.630546588,4.15375827,4.538688734,4.345595861,3.784091406,4.448994732,5.031129869,4.959595686,4.824273375,4.476174588,5.009702941,4.288251992,4.034464001,4.826902572,3.794611647,4.230455266,4.001853615,3.898644096,4.390075264,4.27805367,3.360206229,3.664145868,5.660468722,3.647346443,5.402218747,4.276744372,4.557583516,4.581910773,4.067109218,3.849029508,4.136413143,3.735308539,6.236225496,5.468055732,3.987333091,5.251347526,4.897269617,4.536502318,5.23288633
carbamazepine,3.332002176,4.541473361,3.830185943,4.534980055,4.223460935,4.114908844,4.038419295,5.528040853,3.428170203,3.67940497,4.68296467,3.942289974,4.539160007,4.683079567,3.769988135,4.295414915,4.082462196,3.481185843,3.651546376,4.316745179,5.633694107,3.971600933,3.969198961,5.011589703,3.733357933,3.878236285,4.644288524,3.874747069,4.246640949,4.099010155,3.710205602,3.201351651,3.526277489,3.906674905,3.953763049,3.750068333,4.254416247,3.770910678,3.908059078,4.36556119,3.627871788,4.306221684,4.679977811,3.813592864,5.226933553,3.974607834,4.601357017,4.918460194,4.085606514,3.676674754,4.245036847,3.817996591,3.213006106,3.535644612,3.489309268,4.477181102,4.632188333,7.019028316,3.985206389,4.132451503,3.671212534,3.754969822,3.83152431,4.260651467,3.642179808,4.008629766,4.481104871,4.001291027,3.87098375,5.052559694,4.499633322,4.500723837,3.996466635,3.900392793,4.324957419,3.68510465,4.03759795,3.797741097,3.341920469,4.456203978,4.159651914,3.208866861,3.78017422,5.090230168,3.949380103,4.7269097,4.084468211,4.077540996,4.006697605,3.401131703,3.510787154,4.084708741,3.661150661,6.093450821,4.8306752,3.894391317,5.234934041,4.396687871,3.998128509,4.572572268
carbon_tetrachloride,3.467612324,4.480343791,3.848310671,4.669308143,4.441444301,3.985811928,4.081480489,6.025722167,3.505632476,3.771218164,4.418550815,4.040500197,4.595425823,4.403884403,4.078309262,4.17227125,4.304495676,3.456705079,3.770420983,4.326325911,5.844697706,3.591419773,4.390223433,4.93575674,3.839864212,3.840505059,4.310836531,3.833301213,4.159012916,4.251010509,3.808977089,3.282687475,3.721034433,3.91699808,3.988625208,3.968344329,4.234156087,3.806472537,4.250142229,4.759425736,3.558990859,4.625688492,4.693722084,4.084649591,4.934189505,3.944144245,4.828639786,5.174775939,4.354228504,3.728474417,4.211158306,4.07668174,3.28803312,3.511640996,3.769533185,4.729684526,4.603277118,4.707949564,3.984102687,4.189643761,3.923323576,3.639844083,3.946594938,4.220134081,3.705960522,3.763215699,4.549098275,4.113203839,4.335818081,5.228990703,5.170471885,4.43854603,3.791299924,3.637049274,4.539720589,3.808116747,4.182892563,4.144785829,3.551443597,4.362364217,4.197646722,3.38979731,3.963074151,5.221032712,4.616773804,5.055820799,4.148732824,4.462784469,3.91799336,3.582281692,3.651852874,4.297155686,3.737089516,6.458656111,5.40248479,4.52305527,5.596003509,4.596743921,4.166308116,4.698628113
chloramphenicol,6.7217559,7.058700903,7.165390905,8.204713652,7.656121796,7.335109181,6.767491074,8.932944416,6.417276404,7.289780546,8.379347699,7.86187082,7.436748628,7.508303088,7.691329064,7.831287452,7.283113617,5.946529629,6.114160684,6.794872044,8.906390131,7.118676259,7.920292682,8.204496197,7.007105171,6.80570276,6.478937462,7.206947787,7.664338858,7.604242026,7.42367281,5.965856761,6.805994282,6.955672302,7.384036404,6.739362402,6.664630848,6.533130638,7.464597274,7.309769269,6.474052274,7.706660468,7.957794116,7.231340396,7.689124759,6.805162396,7.696254323,8.466656213,7.482507987,6.501762355,7.20489737,7.251429965,6.257040763,6.02652785,6.891337035,7.357238667,7.778473628,8.050392934,7.474341809,7.545460653,7.252820169,6.866342906,7.435274214,6.414754915,6.666806604,6.537752198,7.140268344,7.696842371,7.074899166,7.410186564,7.719521885,7.928466515,7.363853378,7.381363399,7.724161814,6.104652795,6.331076095,6.633311013,6.759029832,6.657267594,7.001391834,6.358047178,6.666824328,7.933177038,6.510324565,7.894403705,6.949239469,7.587544469,7.391794302,7.011826409,6.935852875,6.751331978,5.551566053,8.026412409,7.818141097,7.15921057,7.379752022,7.413596731,7.325076519,7.719788439
chlormadinone,3.580227623,4.544173202,4.031597636,4.980398174,4.882320279,4.260614379,4.505448824,6.156644971,3.537026368,3.952027212,5.019414108,4.704433209,4.900114766,4.876934616,4.302258762,4.747555543,4.659249387,3.477213065,4.00992465,4.689291451,6.497156396,4.405014031,4.672408955,5.26405611,4.069601581,4.307972934,4.564443674,4.306332353,4.928672177,4.637510729,4.174239228,3.418999933,3.777945208,4.158249702,4.022025902,3.966478006,4.242882839,4.071209264,4.276452464,4.456105577,4.092838174,5.093827572,5.406800934,4.501255687,5.325814876,4.134870184,5.012474351,5.772546913,4.536647009,3.996810638,4.395872532,4.298578435,3.4381576,3.661939558,3.868609627,5.037884258,5.104539846,5.489422421,4.754712663,4.970514472,4.111028325,3.661175312,3.911486275,4.545342917,4.111180536,4.107588612,4.665718751,4.90843699,4.624534487,5.447955208,4.789992328,4.922842311,4.568226935,4.134947698,4.938878637,3.929189396,4.420341963,3.824300202,3.842338837,4.728270824,4.515260319,3.393075846,3.715866387,5.53220392,3.526821062,5.447447263,4.652667827,4.641082085,4.512656274,3.94668971,3.765512213,4.22269685,3.686212467,5.76861749,6.002102206,4.029467642,5.417714835,4.66369412,4.643163504,4.935410803
chlormezanone,8.617905685,8.126185004,7.783111415,8.808046229,8.635908803,8.054234907,7.832908732,10.01295165,7.464707721,7.493859147,8.668066884,7.842824993,8.547729968,8.502348584,7.94685027,8.42816582,7.97930619,7.271415538,7.732529371,7.932611397,9.617946068,7.998740128,7.972614602,8.845305168,7.606591933,7.667646643,8.191573168,7.714320736,7.913051155,7.731075844,7.381451636,7.04982714,7.561199163,7.531810345,7.508866111,7.527337292,7.899130562,7.44478371,7.631182166,7.964752111,7.45322414,8.218927056,8.250053959,7.508493681,8.705131063,7.454697164,8.301685739,8.628185346,7.961219127,7.441193388,7.955461041,7.704875425,6.7693612,7.260379327,7.089499437,8.358465067,8.438067248,8.267979113,7.842932314,7.944298112,7.565527561,7.216440268,7.496283247,7.872809679,7.121997672,7.222271677,7.888017913,7.566555838,7.632955496,8.362526747,7.785076032,7.971748921,7.479757698,7.215088393,7.841881811,6.949297251,7.206800184,6.991018388,7.115856432,7.861775024,7.433976651,6.6431341,7.190998034,8.73173194,6.913681861,8.471106443,7.805396556,7.757413151,7.541269532,6.981324332,7.015788954,7.457718659,7.213217779,8.573591544,8.700040548,7.455509198,8.459858173,7.742833332,7.570830032,8.218132328
chlorpheniramine,4.134349115,4.961945261,4.375252111,5.433931114,5.275101939,4.878586854,4.366692478,6.6666706,4.046931702,4.266244977,5.597199635,5.523703603,5.125622973,5.086693674,4.884489075,5.428558375,4.546152375,4.323267975,4.162035787,4.917491978,6.53549967,4.760758722,5.251248342,5.772437075,4.563408726,4.46148917,4.937617744,4.667150512,5.023184665,4.908106195,4.667682073,3.805017219,4.319073568,4.6234269,4.574907712,4.552303635,4.744796296,4.322917597,4.713496978,4.745788242,4.285964752,5.531690224,6.11433111,4.646460571,5.634363758,4.705076641,5.389220103,6.115554924,4.917895444,4.444978504,5.138151387,4.999324526,3.875024731,4.031032395,4.169500432,5.415599955,5.395814339,8.233832287,5.777903812,5.075020286,4.829285203,4.655551522,4.580647208,5.125219808,4.815901438,4.46684994,5.094487337,5.697915948,5.490290499,5.635382972,5.184940581,5.308549245,5.119100242,4.523841657,5.22708808,4.222593601,4.390826182,5.098362585,4.638151186,5.021453601,4.913240928,3.832411093,4.451895855,6.091386164,4.511847272,5.814660977,4.959303233,5.432440688,5.342084081,4.3991641,4.258064762,4.628638523,4.059389863,6.972039342,5.85428146,4.913700892,5.729764132,5.481099298,4.810313451,5.599539339
chlorpropamide,3.39457437,4.185544074,3.696227329,4.431922096,4.367312492,4.292157366,3.848079801,5.946571706,3.276833576,3.440790369,4.926763338,4.499593688,4.237632657,4.366935834,4.221557484,4.61135141,3.859346475,3.382922511,3.499269596,4.084573855,5.678362614,4.255560876,4.125714901,4.724948225,3.724471444,3.68905718,4.093807332,3.711070757,4.048966302,3.970193559,3.7615705,3.125808144,3.614844349,3.838291249,3.744483175,3.548660729,3.792025231,3.523052564,3.91254715,4.102965326,3.707974489,4.568525939,4.945015902,3.618772846,4.798375439,3.565608222,4.444844493,5.298870624,4.398253075,3.632474717,4.46029339,4.334889784,3.037625239,3.547181727,3.535360385,4.607447398,4.596615236,6.438791537,4.476557697,4.239550251,3.768048631,3.511374168,3.656036133,4.164623495,4.124509786,3.590579127,3.970916886,4.683839946,4.19908595,4.453550294,4.091813926,4.812690405,4.061006282,3.815133314,4.421051088,3.553915139,3.720762646,3.496421451,3.575441532,3.968223124,4.084233747,3.154231508,3.52203476,4.800282764,3.336532986,4.907069681,4.252415509,4.261373351,4.242799869,3.708272645,3.640977219,3.753466488,3.496955185,5.58713985,4.961248435,3.472736065,4.864174449,4.255713704,3.779381585,4.913996939
cimetidine,3.811651439,6.272647882,4.028117047,5.202200545,4.789060902,4.26857938,4.351129442,6.043839833,3.619881068,3.847262522,5.212544077,4.904502926,5.074143081,5.101879751,4.342575121,4.94666429,4.257256418,3.659804844,3.678916211,4.267398146,6.450489171,4.172159251,4.628409354,5.407862733,4.220199683,4.162235947,4.762302024,4.253324093,4.687574841,4.271177958,4.079537078,3.374049066,3.878217291,4.10738454,4.050899655,3.912837589,4.253001173,4.036750539,4.109583413,4.494500486,4.080510325,5.083568625,5.424948344,4.323506662,5.498627504,4.100807312,4.979931179,5.54238881,5.092773266,3.817219505,4.975870525,4.452190638,3.457774657,3.94414071,3.976215171,5.185339001,4.955234577,5.540607196,4.730684737,4.64183509,4.13668818,4.335093097,3.959867981,4.351445535,4.256729256,4.187253108,4.38044998,4.604898586,4.421408792,4.951658244,4.743475679,4.675657684,4.556937064,4.539687332,4.731575616,3.87695258,4.369964661,3.775600263,4.016031907,4.587319158,4.316043052,3.475373469,4.11075237,5.621041192,3.58257055,5.320949723,4.588331689,4.499271641,4.420949972,3.882025798,3.808708868,4.178575234,3.804797963,6.006849494,5.513514942,4.430958225,5.476260641,4.651756044,4.43719245,4.910119733
