Drugs,RPS4Y1,DDX3Y,EIF1AY,XIST,XIST,XIST,CYP2C8,FAM76B,DDX3Y,XIST,KDM5D,XIST,ANKRD1,EIF1AY,PMAIP1,ERAP2,TXLNGY,ZFY,EDNRB,CYP3A4,COL1A1,LOC101928820,XIST,MMP1,IGFBP7,SULT1C2,PMAIP1,TNC,C5orf27,SULT1C2,HSP90B1,TXLNGY,ROBO1,SPG20,HTATSF1P2,CCL2,PLA2G2A,LMCD1,CYP2A6,TAGLN,ERAP2,CHI3L1,CYP2A6,GSTT1,CXCL5,TM9SF3,PANK2,IL20RB,CYP2B6,NCKAP1,UTP18,MGAM,RHEB,ALG5,CHI3L1,ERAP2,C6orf141,DAAM1,SLCO1B3,ALB,ZNF880,TXN,ANXA1,DDX3Y,PNN,MREG,CALCA,CYP3A4,ERAP2,PTX3,ENPP2,AKR1D1,GSTM3,IFI16,EMC7,AKR1B10,SEMA3C,HSPA6,LOC220729 /// SDHA /// SDHAP1 /// SDHAP2,DCN,TWF1,CXCL6,SLC51A,SLC7A11,TTTY15,CYP2A6,MMP10,RPAIN,ACSL4,MTPN,MMP3,MMP12,LOC338620,HSPA6,MYO1D,RASSF4,ACSM2A,TSPAN8,EME1,LOC100507389
butylated_hydroxyanisole,12.13641891,10.07471122,9.922385346,4.207948357,3.526703589,3.710333018,10.61939026,5.508633165,8.651223934,3.130364461,8.421368423,2.904382422,8.694276128,7.70862612,4.969815409,4.338330037,7.5211891,7.299882686,3.729761642,8.241769061,4.078509265,9.188086685,2.7067946,6.733934998,5.194486395,6.11410216,6.735449918,6.876108505,8.480436308,6.755809975,5.844773634,6.992732556,3.141457574,9.019953435,7.867603627,5.2734103,11.51018718,9.184112391,9.490621677,7.471967735,5.229296343,9.463044204,9.400519387,4.22511049,4.017356282,4.660879304,3.47321178,7.905810427,8.968493474,5.801804431,3.656843308,4.333014202,5.297289108,4.082192701,8.789191209,3.486354194,6.449885718,8.872660141,7.973193059,8.005241945,7.065955327,7.366336722,8.763137544,6.588459004,5.899071821,5.354699098,5.039774646,8.688834415,3.944695872,3.513053438,3.326657525,7.472572171,8.171055011,4.893093396,3.956805748,12.65264488,6.293268261,10.9519432,4.597116988,5.196244938,5.661956052,6.269900098,7.452324783,9.051224446,6.549061275,8.892848265,7.007919469,4.44542504,7.8736304,4.23496408,10.06989442,5.717212345,8.223443128,10.09451074,6.873308139,7.384139045,6.159393007,7.435318016,7.584491563,6.37991226
caffeine,4.972727037,3.320223611,3.644716527,9.944647874,9.176447099,9.189184277,10.45312541,9.946798515,4.200919696,8.031903741,4.087107483,7.942557371,9.608240679,4.1189432,8.562270621,3.971750462,3.634812848,3.266032345,8.89068227,10.17903884,7.888075582,6.777863463,7.13522463,10.31743688,9.366526166,4.781636332,9.702136689,9.560792505,8.685522512,5.193574183,9.573345596,3.323386291,7.050859907,4.728432459,3.225307131,9.345463414,8.611502108,11.37583197,9.963855683,8.950932109,4.469712526,7.386561761,9.373132577,8.331497267,8.274639061,7.95573552,7.200796258,4.761463858,8.798005248,8.503244503,6.897308353,8.044240647,8.476829946,7.186881999,7.518121093,3.779517549,9.085405872,5.295579039,5.248340166,11.47183213,6.208811218,10.61985082,10.26599463,3.839907249,8.432903658,6.951185707,6.42336909,10.6459034,3.787027651,6.952747586,4.005253911,6.806670125,5.789074201,7.995424942,7.378923986,13.21813835,5.021159577,11.57666787,6.707829335,8.774833951,7.142632126,7.849044508,5.707390449,9.072709459,3.683319565,9.195368881,9.773153846,7.561593591,9.118748258,7.229478693,10.38848312,7.98360402,8.000180167,10.82447247,4.787433396,4.802227619,6.286126127,5.038082194,10.35566502,6.966558108
captopril,4.622762094,3.219416113,3.359935309,9.97914603,8.82830859,8.881251005,10.24251414,9.67948848,3.889268868,7.923268468,3.931226415,7.977161255,10.05184983,3.661576126,8.232534,3.845321658,3.32674221,3.076885518,8.458481496,10.01588956,8.00100435,7.081730254,7.123330492,9.518126062,8.602649382,4.564925218,9.290145202,9.866768994,8.501066465,4.803572005,9.992697672,3.004780551,7.129349069,4.696228928,2.983791399,10.33266748,8.299875579,10.68235784,9.823297507,9.228200832,4.297508314,7.011362493,9.248879531,8.15747878,7.50946488,8.260975477,7.080536667,5.055766546,8.852959478,8.81258782,7.179419803,8.690133452,8.168358785,7.47501729,6.948766209,3.580186746,8.036639331,5.000355891,4.87621397,11.28664362,6.332609506,10.43669699,10.28448395,3.820262154,8.358269643,6.869730515,5.892462214,10.61257711,4.000936044,6.853557789,4.014870628,7.113976629,5.832492319,8.276809204,7.415891529,13.2271374,4.900527894,11.36164002,6.462990783,8.566518235,7.244465736,8.306313788,5.71493908,8.557695279,3.509865955,9.058139107,9.188107904,7.509515454,8.530493737,7.576885396,9.625660848,7.087475944,7.317400725,10.57884206,4.766560381,4.715489536,7.174591557,4.505739219,10.39259886,6.519991071
carbamazepine,5.269032932,2.83674545,3.080213522,9.981948626,10.30642754,8.981090193,9.127584782,3.723782068,3.886647943,8.461090151,3.679906363,7.67664273,5.533494612,2.918627741,3.383252131,8.646625643,2.886934111,2.635964538,3.420552902,6.815257585,7.378215888,4.263670358,7.302018217,5.446505537,4.808386124,8.635156142,4.822800107,4.8011453,4.433648578,8.614558194,6.333439582,2.901468486,7.445858698,7.964306983,3.878304107,5.657802743,12.76323314,6.706502428,7.670073665,5.160863967,8.266223158,11.18460908,7.620373272,8.557719805,4.334887672,4.298988909,3.405154499,8.073970403,7.380005808,5.495148642,3.330365088,4.641422756,4.59532637,3.917427038,10.88244984,7.270211185,3.73749355,8.188192007,5.270844308,7.382992445,3.17515847,6.956578451,7.621622047,3.73407382,4.889061409,9.019630831,8.602404878,7.830215841,7.847673641,3.176423194,7.189466268,4.795998075,6.90839626,4.628496983,4.467882385,11.8616499,2.929248852,7.932641402,4.706609666,4.880981272,4.097535674,4.997195406,9.173292719,6.220271765,3.1167419,7.503725566,5.30949833,4.329500214,5.278453057,3.761515463,6.505516902,3.641590615,5.354773186,7.281563804,7.607244099,7.360051508,9.333233213,8.018585089,7.059277187,8.306102077
carbon_tetrachloride,5.676916,2.860535543,2.907877983,10.05752488,10.47717288,9.227859771,8.605254713,3.775780637,4.046120464,8.453471806,3.880644348,7.408851873,5.660208908,2.998796773,3.658161752,8.364485928,2.875475461,2.789540789,3.801999312,5.905069284,7.863515399,4.773137817,7.202403801,5.248278191,4.860900196,8.344096277,5.095085858,5.39274075,5.203281746,8.301943946,6.342839625,2.975980043,7.533799116,7.892323056,4.041689123,6.424521302,12.7913152,7.056796695,7.617045194,6.148651297,8.170804517,11.31221622,7.660509921,8.596116322,4.473112976,4.170849411,3.383451158,8.174163462,7.572305366,4.987024424,3.497162544,5.247858401,5.295939942,4.14982569,11.08269649,7.25904312,3.689858947,8.192701715,5.126057997,7.5215441,3.117086231,6.958411476,7.982970668,3.755327367,5.09983333,8.77892165,8.756186719,7.057523758,7.556984847,3.10710591,7.242408758,4.604511622,6.782257075,5.005196191,5.076846365,11.71034218,3.026522797,8.095865848,5.336175712,5.229210951,4.13651112,5.144031127,8.748869467,5.963498594,3.009255539,7.599705717,5.349202137,4.700853529,5.305970658,3.781722735,6.684557732,3.913619814,5.685011258,7.529626109,7.668283814,7.83712302,9.116895336,8.041170283,7.272791436,7.731312806
chloramphenicol,4.562493598,3.197491917,3.315969373,10.03746068,8.81526102,8.711821488,9.770383345,9.080965437,3.794107994,7.989603713,3.580322546,7.653098864,10.05679199,3.467900947,8.33990456,3.691023487,3.367818451,3.049409066,8.303813411,9.745908739,8.139664439,6.389585627,6.986533891,9.701440868,8.614038053,4.535341257,9.325085296,9.574616076,8.175792843,4.749241888,9.651696793,3.016073345,6.851711724,4.178839504,3.008058175,10.45539519,7.979825259,10.89252575,9.719728711,9.186124207,4.044014121,7.386299918,9.187844467,8.051815654,7.861601791,8.02969746,6.385993431,4.577024891,8.500471924,8.434133949,6.703723081,8.413728423,7.886385904,7.119955827,7.381618176,3.510830757,7.774803816,4.47672486,4.60226213,10.71320532,5.943667598,10.31846032,10.02876365,3.676632734,8.24118602,6.436944082,5.788546522,10.41364417,3.772664253,7.553145134,3.654215992,6.429004681,5.74049062,8.161582655,7.245515802,13.05610477,4.963479723,11.0923144,6.634674685,8.305576935,6.919011881,7.751149068,4.934130855,8.706784541,3.475411966,8.958461983,8.961394795,7.378590071,7.931579456,6.987508877,9.4921178,6.919147589,6.641392393,10.27515945,4.562914067,4.140249169,6.050383393,4.132588853,9.822575359,6.004350734
chlormadinone,5.001431386,3.614449818,3.78159264,10.3928578,9.411825894,9.321002615,4.385092866,9.882222235,4.130481177,8.40201281,4.21793442,8.182422874,10.14663434,3.646458939,4.975566585,5.765244714,3.881451391,3.522747389,3.742476162,5.718838726,3.637246298,9.88754449,7.306280437,9.096440665,3.844322902,3.792227207,6.897279068,4.86502384,7.063833339,3.853956664,10.26339443,3.471045829,4.135302647,8.939021285,4.524819049,6.771390683,13.48968973,7.392698906,5.765669586,5.752802116,7.329018155,7.132821625,4.690058895,8.496656079,4.022359424,8.013009348,7.437160227,5.197676166,4.953620419,8.541661877,6.636537333,4.921766251,8.524799377,7.718517205,7.085164876,5.143477821,5.105301448,7.963851356,5.097504012,11.55640059,4.428559034,10.75292779,5.578760139,4.112134686,8.936984203,6.685165483,4.62285696,6.991849872,5.742507468,3.787279005,4.507016705,4.030009513,9.888312153,5.248397057,7.557293546,9.823072335,3.763035109,11.84919613,9.497570566,4.742414033,8.240793405,6.677595684,5.552443863,6.364306458,4.050503213,5.0257605,7.936351008,7.763442283,7.695964525,7.432073101,8.456710119,4.51715618,4.662854067,10.96552926,4.25144262,5.213639644,6.335974405,5.28806808,10.64284524,4.255722679
chlormezanone,11.60366523,10.04825709,9.563345791,3.952594626,3.74859629,3.579146538,7.65116834,8.74507018,8.918055014,3.374268852,7.318951787,3.473074426,8.686244832,7.468561606,7.452832547,3.651109751,6.499035,5.498578524,3.37441814,4.701847794,4.593223896,7.141742598,3.028846743,9.410003701,3.812952947,3.316404331,8.696953087,6.479414658,4.924986645,3.331897703,8.920128104,6.290679198,3.393409954,8.869987558,5.108875498,8.347605564,10.97888089,9.926494732,6.291200509,10.91631149,3.976632897,8.243804693,6.321801325,8.356244282,3.722639616,7.94789678,6.196227849,3.885084488,5.845568734,8.540935188,6.967574973,4.557242077,7.813628441,7.043936621,7.682184901,3.444919881,5.120851896,7.154225046,7.704591463,10.47030039,4.09412867,10.07161631,8.959593057,7.704267601,8.677609621,9.260855511,5.90689676,6.48871772,3.998608227,4.262083064,4.093675804,4.737165376,10.42405172,3.322194865,7.124575937,9.081630191,5.263155766,10.77704806,6.330999538,4.235905372,8.070079384,4.296548586,5.575917639,7.718007593,6.468473764,6.615896938,8.975091154,7.382231347,4.641951255,6.886806438,8.511398999,6.48356106,6.099996378,9.850391374,4.772122787,6.335256197,6.387376589,6.324547987,9.567021314,3.532940465
chlorpheniramine,5.205237775,3.577136018,3.678546847,10.13296044,9.007139732,9.114474393,10.21595715,9.725629435,4.076544312,8.231751061,4.355043806,7.945730733,10.30929395,4.166836877,8.708002402,4.086189113,3.627965312,3.430664628,8.40351592,10.21848545,8.144590648,7.167379593,7.111054808,9.52762542,8.976423003,5.134673504,9.791198938,10.20298217,8.483125191,5.750760405,9.736086049,3.364269146,7.032413548,4.775695532,3.449680653,10.46850071,8.502678827,10.94403183,10.06055148,9.380421858,4.511537699,7.229477587,9.38854843,8.148558947,8.30081002,8.196349874,7.107660597,5.241915811,8.6595705,8.725695024,6.990798857,8.732040014,8.371856847,7.480345332,7.225677576,4.047778411,8.103799731,5.015461194,5.277809774,11.51324986,6.298647432,10.7175952,10.51587486,4.109925265,8.493201832,6.641440959,6.063726856,10.63423121,4.090452882,7.304730049,4.135698359,6.737158488,6.237070031,8.638410639,7.550853749,13.35258569,5.255960114,10.74651216,6.777450311,8.326507228,7.416828883,7.743718747,5.862364759,8.959698949,3.892839911,9.499350063,8.995229577,7.971610906,8.6208531,7.245570324,9.94729439,7.072090227,7.603073301,10.19943758,4.789145083,4.842762848,5.885351017,4.670613818,10.64896138,6.084049645
chlorpropamide,4.241499832,3.149036331,3.278333433,9.663015057,8.632941401,8.344346483,9.632166929,8.596057863,3.725240176,7.445264387,3.554280149,7.121323145,10.62140102,3.450495306,8.241454532,3.524413909,3.311812937,3.033311977,7.998297746,9.582246755,7.592684733,5.960866602,6.54900032,9.254743526,8.286849555,4.193498377,9.242854172,9.380114576,8.032589528,4.444177681,9.200608133,3.079334536,6.744346223,4.030386832,2.970773704,10.08085956,7.913326987,10.91412667,9.585975489,9.433581414,3.881770261,6.955773713,9.065392666,7.890145107,7.361246493,7.928419931,6.323044561,4.691712998,8.105034951,8.151629702,6.627491513,8.077291216,7.516385352,7.106422918,7.143272804,3.48759053,6.924168667,4.441605803,4.430744238,10.51601955,5.456568696,10.07741659,10.22312638,3.584156243,7.926569329,6.491851805,5.393800649,10.27242765,3.751997215,6.996524596,3.542094942,5.87603828,5.322471256,7.597202981,7.167697414,12.94272213,5.153832117,10.72041312,5.825465312,8.137035239,6.828751902,7.142088537,5.025232049,8.299995359,3.381285647,8.622906253,8.892436826,7.210747071,6.931454021,6.569601015,9.033722518,7.141480128,6.208518324,9.898001034,4.170437408,4.389610586,5.351502717,3.981646334,9.415586411,5.457342917
cimetidine,5.539529289,3.041241319,2.895716722,9.598848658,9.801702165,8.270926842,8.923001438,4.872579195,3.950326896,7.630681407,4.285769333,6.628443665,5.526079718,3.17767604,3.315216459,8.257659082,3.035308778,2.775368431,3.890414989,5.984128918,7.194094145,5.212044558,6.842629563,5.280752088,4.875556113,8.368601948,4.304106778,5.11639436,4.283489964,8.304063756,6.615176947,2.768641572,7.094576316,8.237963489,4.927802086,6.306491616,12.65472872,6.669368715,7.69307143,5.484489363,8.350658333,11.23661037,7.449504045,8.433437219,4.592731947,5.1892612,3.43668425,7.918070959,7.261566875,5.109290673,3.696977868,4.613685253,4.749341644,4.340938899,11.09684758,7.097948829,4.366284721,8.055158217,5.068992651,8.086008941,3.0878813,7.415891331,7.467940819,4.186848059,5.706874231,8.849631946,8.795694002,6.767614429,7.321467793,3.113117437,7.32735412,4.524998243,6.900293936,4.893556031,4.398201891,11.63707185,2.960505288,7.778797746,4.137989538,5.553085818,5.17175012,5.607527184,9.401860593,5.184918725,3.221051189,7.522649003,5.667824859,4.75883526,6.823884943,4.163989772,6.730963332,4.095646883,6.746970796,7.16225897,7.147822517,7.500642082,9.094323344,7.768654038,7.241215328,7.993429062
ciprofloxacin,11.65263324,9.841874025,9.251077802,4.086322547,3.872184515,3.652137714,7.743770251,9.33954205,8.725277327,3.315036665,7.267586423,3.429062106,8.436521075,7.309687499,7.618006881,3.728040397,6.688272838,5.781904071,3.450180697,4.691910052,4.30788869,7.29385247,2.999051104,9.444019597,3.627348437,3.466147848,8.712223093,6.871281514,4.668691132,3.47736793,8.85667892,6.231111961,3.271145587,8.811576217,5.563240928,8.410009076,10.96062732,9.860514734,6.660781931,10.8861968,4.073454472,8.506986905,6.375009682,8.305798453,3.797420577,7.756772856,6.817177878,3.876884133,5.850585087,8.351840249,6.857372811,4.601906128,8.027078772,6.86013397,7.587384264,3.417883776,6.434087827,7.080616394,7.710779008,10.92435422,3.946571949,10.17711381,8.762489064,7.58575815,8.500715233,9.315181974,5.986863621,6.404232859,3.725845607,3.869916082,4.216317666,4.470000063,10.2097144,3.610079654,6.993445906,8.932588932,5.050096257,11.17520051,6.180980819,4.67634976,8.005955197,4.253935294,5.982129001,7.301579033,6.075356292,6.718678056,9.125718967,7.423072153,5.659162372,7.14168757,8.523224549,6.56225929,6.764949239,10.32551449,4.541822433,6.427994914,6.194911872,5.678168284,9.918436328,3.655872065
clofibrate,5.729541205,2.755333226,2.883927037,9.97560548,10.33519887,8.959866866,8.785485838,4.26633306,4.09329476,8.292227601,3.946785168,7.756692481,5.395774779,2.873248872,3.303795895,8.491067785,2.773186883,2.572363144,3.511004833,5.918471248,7.397536142,4.828911919,7.166016056,5.300119158,4.929293018,8.486631322,4.423427812,4.988985056,4.75751826,8.262626541,6.942686244,2.88553407,7.248499768,8.00860641,4.306795161,5.984767807,12.85324572,7.145806779,7.679297219,5.669574012,8.482379946,11.23737028,7.734456538,8.43818149,4.417910879,4.991385837,3.411855684,8.109938177,7.440736676,5.516592373,3.416712314,4.855597287,5.280196987,4.248365078,10.91643951,7.367522669,4.245479578,8.300565088,5.246406615,7.834352558,3.035332474,7.179789277,7.810665452,4.001693916,5.408728255,8.940949027,8.696137557,7.053604599,7.911891131,3.229619991,7.279480695,4.378341277,6.611509285,4.845764449,4.429570814,11.60217086,2.81614644,7.93523658,5.209055319,5.418007958,4.282439473,5.126685855,9.313891754,5.963882031,3.121372922,7.552765967,5.476732754,4.513271135,5.593592963,3.980122461,6.568474468,3.732556623,5.758841655,7.524429803,7.796870287,7.648620475,9.042002894,7.809057858,7.074360174,7.945093155
clomipramine,4.574699211,3.423362032,3.597598782,10.47708355,9.023598758,9.07481323,4.38643414,8.939835504,3.878970833,8.227036957,3.863579507,8.113047366,10.16569032,3.524818195,5.055069711,6.947540627,3.529823309,3.315421535,3.694090985,4.963774668,3.467073369,9.536058263,7.253480484,8.897805985,3.506788866,3.496148001,6.479812171,5.776556407,7.366109466,3.580963821,10.23809357,3.301362566,4.367175389,8.626057346,4.687365448,8.201686082,13.29642933,7.015270251,4.584589495,6.471778303,6.938362712,7.375210074,4.613044107,8.68736077,3.965799654,8.350863509,6.967540359,5.361784837,4.312415574,8.710964511,6.606412589,5.561508162,8.339639861,7.687464892,7.645995177,5.929998115,4.305747395,7.810869142,5.332318861,11.00756114,4.846763331,10.7006388,6.263957278,3.614875691,8.64117135,6.22711386,5.300199753,6.830137877,6.256430379,3.64964347,4.662848607,4.200024758,10.28630578,5.758414568,7.602975479,10.23215227,3.555884465,11.13245139,9.477978606,4.094417346,8.266277573,7.849107481,5.950029634,6.490876726,3.523992858,4.9397339,8.043447444,7.50145178,7.341257013,6.995786473,8.265941871,4.26158395,4.294349045,10.33926229,4.436437604,5.189132551,7.480822256,6.296444927,9.920046712,4.350262982
colchicine,4.574345612,3.392120127,3.423435137,10.59975025,8.83148506,9.355038569,4.07360299,8.629781883,4.057424691,8.539432839,3.873916292,8.129292684,10.66369714,3.338731887,5.142548929,6.162445086,3.506369479,3.251118413,3.697314145,4.710203783,3.71387564,9.479028248,7.385347376,9.811070138,3.502954067,3.340208655,6.53180955,4.611060218,8.414725435,3.294963267,10.29499999,3.183659527,4.549067705,7.714519284,3.825009202,4.844083273,13.30593885,8.148134221,4.158984126,6.18426146,5.749193366,7.70221907,4.248622758,8.601373432,3.745706517,8.034371092,6.985951745,5.19148488,4.742249849,8.907814741,6.38738247,5.744014467,8.293968061,7.176695919,7.747500577,5.350681833,4.185464885,7.910934757,5.612713606,10.70340198,4.931682348,10.35100344,5.882998861,3.531304403,8.554757033,6.286100199,5.821595228,6.660403551,5.602839835,3.570763054,4.856326358,3.743432645,10.28745111,4.994103584,7.293972669,8.279086578,3.487263871,12.116939,9.299389715,3.824516364,8.114374781,5.87422464,4.874990603,7.092308529,3.608713603,4.524504263,9.262452926,7.155063739,7.224695838,7.167348134,8.134710372,4.888759881,4.491329174,11.40475397,5.247365492,5.035555308,6.382581669,5.642075064,9.589238897,4.287421151
coumarin,5.071305081,2.429153695,2.424499188,9.009329257,9.178971753,7.982834358,7.790840063,3.734381584,3.410043486,7.284024956,3.369612893,6.942785118,4.918124517,2.56122199,2.882700337,7.94380857,2.411016478,2.147131468,3.010692008,4.860835345,6.317467477,4.103321284,6.407948562,4.502021165,4.156586053,7.714968533,4.906359278,4.700791774,3.553915497,7.522632079,6.063490382,2.30929389,6.380955308,7.555488064,3.756052697,5.513439294,12.08584046,6.184569917,6.951099915,5.398055441,7.601551438,10.53370094,6.870106778,7.598920327,3.677011687,3.838566207,2.928141445,7.454231857,6.507697249,4.116413309,2.94213305,4.58776009,4.259384744,3.439716932,10.5312531,6.68058781,3.98664205,7.614477129,3.901599437,7.541424414,2.671727604,6.604162832,7.479845507,3.117602574,4.583396831,8.175031053,7.814239662,6.339726865,6.852924811,2.806872994,6.519644905,3.782145529,5.957352605,3.960523715,3.519461916,11.60006352,2.600226145,7.326996818,3.900437852,4.842747226,3.929288096,4.285786542,8.188679811,5.432398368,2.594140449,6.896063725,4.842179072,3.806173543,5.430172916,4.037227935,6.045856366,3.239541291,5.610756267,6.79482925,6.935396852,7.054656156,7.920793354,6.989822275,6.601497507,6.988482332
cycloheximide,12.25212794,10.99767186,10.28441577,4.654295003,4.386647131,4.415953692,11.26165397,6.646722585,9.589409549,3.350722978,9.168933329,3.048654468,8.918341335,8.295706544,6.359223492,4.601215206,8.151280734,8.658501809,4.207622862,8.78399722,5.1071967,9.404175364,2.989227231,7.138640018,6.13688594,5.652151803,7.647521837,7.919046874,6.79420072,5.922997049,6.202186294,7.895753814,3.431750884,9.643904565,7.741603597,7.521521451,11.77083546,10.04376984,9.755486493,8.653463884,5.064756937,9.842129937,9.725155559,5.133621032,4.93119347,5.9313205,3.906271413,7.41338117,9.607376441,6.203042659,4.104773351,6.037266817,5.27976012,4.412068238,9.030330423,3.747356661,8.190870677,9.962419043,8.311093374,8.301035945,7.116811812,7.594116863,8.066048487,8.069637774,5.947397056,5.126244476,5.597178092,9.217519757,4.016039512,3.939882975,3.696035168,7.46230785,7.929859038,5.397027657,4.508177516,11.27386198,6.485160985,11.0812017,4.826559422,5.504346859,5.722689478,6.974549895,6.984992228,7.819528255,6.679902771,9.308882987,7.295156534,5.427827511,8.727809046,4.882021714,10.13480411,6.736241656,9.030306221,10.09276568,7.015050059,7.708429075,5.649947647,7.401640773,7.67736715,6.038207373
cyclophosphamide,4.696165073,2.801567677,2.840845266,9.397211536,9.987673127,8.246148329,8.608560694,3.47854025,3.737670756,7.838965334,3.637277233,7.086900235,4.54556222,2.865464153,3.004996694,8.080635227,2.682505528,2.55300029,3.260964307,6.395976881,6.596415247,4.292019978,6.676682771,4.928406094,4.200483232,8.157506517,4.595414576,4.361584457,4.230361025,8.049335702,5.873922659,2.84275273,6.779815733,7.553031933,4.0336452,5.550500743,12.61238862,6.571352747,7.287154879,5.080749867,7.832804395,10.77612766,7.323949557,7.890250523,3.746290137,4.117433794,2.961321043,7.889589436,7.14206659,4.696896088,3.250828931,4.066349925,4.596867196,3.680476387,10.47502311,6.823725475,4.015741766,7.9277181,4.386228444,7.234952266,2.987795588,6.86561815,7.361251929,3.616784896,4.584221086,8.557654677,8.116590675,7.552154688,7.304790893,2.961644362,6.807204495,4.188427585,6.229381122,4.35005196,3.684204385,11.6663552,2.855179863,7.455327395,4.299195045,4.628199506,3.842716816,4.400137994,8.855271905,5.132494031,2.875905504,7.277477103,5.197618999,4.272400812,5.517670921,4.020017941,6.311826629,3.513833021,5.191150747,6.942765236,7.186132312,7.171246559,8.736996725,7.328651676,6.98606247,7.63535776
cyclosporine_A,12.04645003,9.970283543,10.14611599,4.885698143,3.977681647,4.318535387,10.98096065,5.909504901,8.702810772,3.298638305,8.363437993,3.179042037,8.560799211,8.029124813,5.268923045,4.455794436,7.908154235,7.976111992,4.257329521,8.012235072,3.933840746,8.837767132,2.851063125,6.683659142,5.312419103,6.080430872,6.767060855,7.498737959,8.319957658,6.443347545,7.042665759,7.296893147,3.503852516,9.286535822,8.179095901,6.905710332,11.6618758,8.370205638,9.370818597,7.408544554,4.379526141,9.592414548,9.428585817,4.562879701,4.701721634,5.935434818,3.738220743,8.238788736,8.968986951,6.126218578,3.917852955,4.222925745,5.478528757,4.25916398,8.953624921,3.504072191,6.397873642,9.426623879,8.179113391,8.328035661,6.824906641,7.748709009,8.761440369,7.595509942,5.813378959,5.549258669,5.481055895,8.698704377,4.328839723,3.913646194,3.66502406,7.831576024,8.23543875,5.370368936,4.654230067,12.23739094,6.489822619,10.05897717,4.798359885,5.53905709,5.870180216,7.849209413,7.477627457,8.905655087,6.522637346,8.885497807,7.226102852,5.318314737,8.546035182,4.829002585,9.682419924,6.23455801,8.387554898,9.286917359,7.400935035,7.797321863,6.876304005,7.517352966,7.511421412,6.834617444
danazol,4.846534311,3.362111092,3.362102001,10.11879313,8.836951835,9.140487944,4.293478414,9.556985814,3.972642683,7.881085505,4.126111742,7.625521984,10.36732277,3.82913444,9.131931437,3.552293546,3.488201087,3.233643218,5.640924019,5.180606964,9.407007553,8.49981378,6.771750836,7.632539572,8.08799769,3.549192656,9.988079514,8.838739714,4.96527062,3.635474296,10.33988083,3.126044739,5.019578849,9.256478865,3.184948274,7.829384228,11.25450732,8.957107839,6.088479253,7.157644389,3.879384847,7.763969485,6.014688891,7.27554332,7.387589529,7.413044108,6.976717343,4.311540362,4.390281257,8.209134208,6.561013497,4.403116755,8.071367306,7.195867848,7.456708053,3.698784906,7.348330336,5.170483122,9.111799154,11.21403109,3.391967768,10.26273589,10.35102949,3.820454772,8.614674364,8.783475592,5.534143738,6.591608273,3.770244157,5.068661891,4.205933612,3.931403123,5.93340745,6.88583448,7.054558587,7.900720503,5.725510912,10.0755848,6.835180965,7.292945755,7.740841511,4.34806016,6.196854869,9.196234515,3.708885002,6.45788825,7.251461058,7.839018171,8.118573489,6.919530328,9.500048935,4.311394709,7.497567974,9.366695172,4.3467729,4.690766354,3.727314243,4.286634519,10.28266127,3.744751435
dantrolene,4.841826882,3.183662928,3.247802719,9.990561367,9.415171284,8.811709595,4.08370402,8.260512815,3.910748446,7.949079653,3.856824904,7.78205948,9.45167354,3.695616247,4.457069434,6.824600276,3.480648114,3.041617073,3.467398383,5.571421785,3.533600087,9.230644691,7.02852729,8.830560029,3.424879488,3.24579003,6.630637804,5.999782019,6.873871838,3.427760214,9.332508417,3.061617417,3.93881055,8.613946772,5.101311832,8.102811735,13.17235746,6.675489803,5.490493063,6.640046079,6.865840655,6.972297611,4.772849472,8.081298801,3.99550713,7.540587589,6.770035704,5.342579546,4.763378967,7.449860156,5.301342362,4.994653769,7.356352378,6.368155772,6.982098993,5.360056653,5.011439534,8.209750305,5.094803067,10.4637173,4.085991298,9.744726567,6.256584051,3.722799896,7.529190798,6.251374731,4.691378516,6.81276121,5.894810735,3.55919819,4.825219126,4.002985602,9.575280944,5.360926111,6.399642683,9.764455787,3.475048452,11.08315454,8.163554864,4.418038692,7.538170539,8.133818004,5.901356844,6.201704598,3.462457963,4.956489613,7.720860252,6.769703723,7.51256308,5.94272709,8.053496014,4.515422362,4.828265321,10.28476754,4.292425235,5.468221196,7.08401201,5.754775434,9.020920432,4.262446628
dexamethasone,11.9195128,9.825077687,9.898363392,4.266005247,3.555941747,3.457120151,10.74986199,5.760321631,8.157608131,3.111186067,8.532471359,2.767043989,9.086273035,7.710850891,5.097108528,3.966743733,8.031123696,7.459494951,3.440592,8.332894734,3.722204574,8.757165825,2.642885281,6.12140481,5.291663491,5.513375419,6.604312292,6.74914101,8.42526887,5.71474355,5.847929685,6.8677999,3.108341496,8.796640813,7.667597363,6.643216753,11.64079576,7.742886844,9.480274343,7.380484033,4.733463296,9.11631972,9.354213746,4.214434408,4.209864152,5.132377696,3.922535909,7.81676528,8.725968444,5.702976902,3.439658643,3.763333764,5.36687456,4.271142829,8.787868974,3.207500036,5.401231214,9.287390962,7.369742144,8.155500448,6.656549731,7.668783736,8.097602073,6.411927517,5.73483901,5.28524249,4.804419079,8.98446641,4.226612147,3.483858497,3.313640582,7.014429585,8.401873216,4.967657589,4.143973004,11.7673959,6.090775547,9.951545268,4.486313863,4.91626959,5.82587878,7.584197285,7.121694565,8.220143755,6.473601872,8.89315597,7.055495264,4.615856516,8.312555678,4.494813858,9.190905031,6.140500898,7.999088081,9.17290857,7.040307346,8.126497027,7.27594046,7.296527168,7.353089276,6.347033822
